,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_779,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phlebiopsis,unidentified,FOTU_779,Phlebiopsis,FOTU_779_Phlebiopsis
FOTU_780,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,unidentified,unidentified,FOTU_780,Teichosporaceae,FOTU_780_Teichosporaceae
FOTU_781,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_781,Ascomycota,FOTU_781_Ascomycota
FOTU_782,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,arcularius,FOTU_782,Lentinus_arcularius,FOTU_782_Lentinus_arcularius
FOTU_783,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_783,unidentified,FOTU_783_unidentified
FOTU_784,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_784,Ascomycota,FOTU_784_Ascomycota
FOTU_785,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,unidentified,FOTU_785,Chaetothyriales,FOTU_785_Chaetothyriales
FOTU_786,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,unidentified,unidentified,FOTU_786,Mycosphaerellaceae,FOTU_786_Mycosphaerellaceae
FOTU_787,Viridiplantae,Anthophyta,Eudicotyledonae,Gentianales,Gentianaceae,Comastoma,traillianum,FOTU_787,Comastoma_traillianum,FOTU_787_Comastoma_traillianum
FOTU_788,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Trechisporales_fam_Incertae_sedis,Sistotremastrum,vigilans,FOTU_788,Sistotremastrum_vigilans,FOTU_788_Sistotremastrum_vigilans
FOTU_789,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_789,Fungi,FOTU_789_Fungi
FOTU_790,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Neofavolus,alveolaris,FOTU_790,Neofavolus_alveolaris,FOTU_790_Neofavolus_alveolaris
FOTU_791,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Podocarpomyces,knysnanus,FOTU_791,Podocarpomyces_knysnanus,FOTU_791_Podocarpomyces_knysnanus
FOTU_792,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,unidentified,FOTU_792,Colletotrichum,FOTU_792_Colletotrichum
FOTU_793,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,dichrous,FOTU_793,Gloeoporus_dichrous,FOTU_793_Gloeoporus_dichrous
FOTU_794,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_794,Fungi,FOTU_794_Fungi
FOTU_795,Viridiplantae,Anthophyta,Monocotyledonae,Commelinales,Pontederiaceae,Pontederia,unidentified,FOTU_795,Pontederia,FOTU_795_Pontederia
FOTU_796,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,unidentified,FOTU_796,Taphrina,FOTU_796_Taphrina
FOTU_797,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,aphidis,FOTU_797,Moesziomyces_aphidis,FOTU_797_Moesziomyces_aphidis
FOTU_798,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,unidentified,FOTU_798,Lophodermium,FOTU_798_Lophodermium
FOTU_799,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unidentified,unidentified,FOTU_799,Didymellaceae,FOTU_799_Didymellaceae
